slug,audio_identity,lyrics_match,page_metadata,flags
fire-from-heaven,PASS,N/A,PASS(legacy-album),
fireflies-and-fireworks,PASS,N/A,PASS(legacy-album),
fleas,PASS,N/A,PASS(legacy-album),
floating,PASS,PASS-MINOR-TRIM(ratio=0.94),PASS,
gaslight-and-glitter,PASS,N/A,PASS(legacy-album),
get-stoned-with-you,PASS,PASS-EXACT,PASS,
ghost-wanted-dead-or-alive,PASS,PASS-MINOR-TRIM(ratio=0.88),PASS,
god-is-good-to-me,PASS,N/A,PASS(legacy-album),
good-to-me,PASS,N/A,PASS(legacy-album),
goodnight-baby,PASS,N/A,PASS(legacy-album),
happy-birthday,PASS,PASS-EXACT,PASS,
hazy-bubble,PASS,PASS-MINOR-TRIM(ratio=0.97),PASS,
he-just-called-my-name,PASS,PASS-EXACT,PASS,
healing-waters,PASS,PASS-EXACT,PASS,
held-you-first,PASS,PASS-MINOR-TRIM(ratio=0.99),PASS,
high-with-you,PASS,N/A,PASS,
hungry-eyes,NO-SITE-DATA,N/A,N/A,no matching site-data.js record for this slug (legacy orphan page)
i-aint-picking-up-your-shit-no-more,PASS,N/A,PASS(legacy-album),
i-didnt-die,PASS,FLAG-PARTIAL(ratio=0.74),PASS,"page lyrics cover only ~74% of master word-set -- possible truncation, needs CEO review"
i-rise,PASS,N/A,PASS(legacy-album),
if-tears-could-call-heaven,PASS,PASS-MINOR-TRIM(ratio=0.97),PASS,
im-begging-you,NO-SITE-DATA,N/A,N/A,no matching site-data.js record for this slug (legacy orphan page)
invisible-woman,PASS,PASS-MINOR-TRIM(ratio=0.96),PASS,
juicy-peach-on-fire,REDIRECT-STUB,N/A,N/A,converted to redirect per never-delete policy
just-peachy,PASS,N/A,PASS(legacy-album),
keep-pushing-me,PASS,N/A,PASS(legacy-album),
kick-your-ass,PASS,N/A,PASS(legacy-album),
las-cruces-nights,PASS,N/A,PASS,
left-my-heart-in-santa-fe,PASS,PASS-EXACT,PASS,
liar-preacher-man,PASS,PASS-MINOR-TRIM(ratio=0.93),PASS,
lightning-strikes-my-heart,PASS,PASS-VERIFIED-FIXED(ratio=0.97),PASS,
lightning-strikes,REDIRECT-STUB,N/A,N/A,converted to redirect per never-delete policy
look-in-my-eyes,PASS,N/A,PASS(legacy-album),
looking-for-my-swagger,PASS,N/A,PASS(legacy-album),
lost-in-santa-fe,PASS,PASS-EXACT,PASS,
love-me-complicated,PASS,PASS-MINOR-TRIM(ratio=0.87),PASS,
luminarias,PASS,N/A,PASS(legacy-album),
luminaries,PASS,N/A,PASS(legacy-album),
lump-of-coal,PASS,N/A,PASS(legacy-album),
mangroves-and-moonlight,PASS,PASS-EXACT,PASS,
me-my-dog-spurs,PASS,PASS-VERIFIED-FIXED(ratio=0.75),PASS,
mi-hogar,PASS,N/A,PASS,
moonlight-on-warm-waves,PASS,N/A,PASS,
moonlit-desert-pulse,PASS,N/A,PASS,
moonlit-desert-silence,PASS,N/A,PASS,
my-bed-aint-mine,PASS,N/A,PASS(legacy-album),
my-cup,PASS,PASS-EXACT,PASS,
name-above-all-names,PASS,N/A,PASS(legacy-album),
never-let-go,PASS,PASS-MINOR-TRIM(ratio=0.95),PASS,
no-fear,PASS,PASS-EXACT,PASS,
not-enough-bottles,PASS,PASS-MINOR-TRIM(ratio=0.92),PASS,
obsessed,PASS,N/A,PASS(legacy-album),
one-night-with-the-devil,PASS,PASS-MINOR-TRIM(ratio=0.94),PASS,
only-gift-i-need,PASS,N/A,PASS(legacy-album),
paper-soldier,PASS,N/A,PASS(legacy-album),
peace,PASS,PASS-EXACT,PASS,
peach-on-fire,NO-SITE-DATA,N/A,N/A,no matching site-data.js record for this slug (legacy orphan page)
port-lavaca-paradise,REDIRECT-STUB,N/A,N/A,converted to redirect per never-delete policy
port-lavaca,PASS,PASS-VERIFIED-FIXED(ratio=0.83),PASS,
puff-planet,PASS,N/A,PASS(legacy-album),
puppy-kisses,PASS,N/A,PASS(legacy-album),
pussy-juice,REDIRECT-STUB,N/A,N/A,converted to redirect per never-delete policy
rainbow,PASS,N/A,PASS(legacy-album),
resonant-stillness,PASS,N/A,PASS,
return-to-love-frequency,PASS,N/A,PASS,
ride-or-die,PASS,N/A,PASS(legacy-album),
rock-a-bye-baby,PASS,PASS-VERIFIED-FIXED(ratio=0.77),PASS,
rodeo-cowboy,PASS,FLAG-PARTIAL(ratio=0.72),PASS,"page lyrics cover only ~72% of master word-set -- possible truncation, needs CEO review"
sand-in-toes,PASS,PASS-MINOR-TRIM(ratio=0.94),PASS,
sheriff,PASS,PASS-MINOR-TRIM(ratio=0.93),PASS,
shit-pie,PASS,N/A,PASS(legacy-album),
shove-it,PASS,PASS-MINOR-TRIM(ratio=0.99),PASS,
silence-is-your-fangs,PASS,PASS-MINOR-TRIM(ratio=0.88),PASS,
silent-dunes,PASS,N/A,PASS,
sleep,PASS,PASS-MINOR-TRIM(ratio=0.91),PASS,
slobbery-kiss,PASS,N/A,PASS(legacy-album),
smoke-me,PASS,FLAG-PARTIAL(ratio=0.67),PASS,"page lyrics cover only ~67% of master word-set -- possible truncation, needs CEO review"
smoky-mountain-snow,PASS,N/A,PASS(legacy-album),
spurs,PASS,N/A,PASS(legacy-album),
stage-4-liabetes,PASS,N/A,PASS(legacy-album),
still-obsessed,REDIRECT-STUB,N/A,N/A,converted to redirect per never-delete policy
still-the-asshole,PASS,N/A,PASS(legacy-album),
stillness-in-bloom,PASS,N/A,PASS,
stony-road,PASS,N/A,PASS,
suffer-in-silence,PASS,PASS-EXACT,PASS,
taffy-in-and-out,REDIRECT-STUB,N/A,N/A,converted to redirect per never-delete policy
tangled,PASS,PASS-MINOR-TRIM(ratio=0.99),PASS,
tattoo-in-albuquerque,PASS,N/A,PASS,
tattoo,REDIRECT-STUB,N/A,N/A,converted to redirect per never-delete policy
tear-drops-in-my-coffee,PASS,N/A,PASS(legacy-album),
teardrops-in-my-coffee,PASS,PASS-EXACT,PASS,
the-last-time,PASS,PASS-EXACT,PASS,
the-love-frequency-528-hz-inspired,PASS,N/A,PASS,
the-reckoning,PASS,N/A,PASS(legacy-album),
this-is-shame,PASS,N/A,PASS(legacy-album),
those-big-brown-eyes,PASS,N/A,PASS(legacy-album),
tongue-and-groove,PASS,N/A,PASS(legacy-album),
trouble-trouble-pup,PASS,N/A,PASS(legacy-album),
twinkle,REDIRECT-STUB,N/A,N/A,converted to redirect per never-delete policy
uh-oh-i-did-it-again,PASS,N/A,PASS(legacy-album),
uncontainable,PASS,PASS-MINOR-TRIM(ratio=0.97),PASS,
undo-the-spell,PASS,N/A,PASS(legacy-album),
villain,PASS,N/A,PASS(legacy-album),
warm-waves-at-midnight,PASS,N/A,PASS,
when-you-wake,PASS,N/A,PASS(legacy-album),
white-sands,PASS,N/A,PASS,
wildflower-dreams,PASS,PASS-EXACT,PASS,
wildflower,PASS,N/A,PASS,
will-you-be-my-friend,PASS,N/A,PASS(legacy-album),
wish-you-were-me,PASS,PASS-EXACT,PASS,
woke-up-laughing,PASS,FLAG-PARTIAL(ratio=0.71),PASS,"page lyrics cover only ~71% of master word-set -- possible truncation, needs CEO review"
world-melts-away,PASS,PASS-MINOR-TRIM(ratio=0.92),PASS,
zero-rips-left,PASS,N/A,PASS(legacy-album),
zoomies-in-the-house,REDIRECT-STUB,N/A,N/A,converted to redirect per never-delete policy
